Каждое утро начинай с чтения списка самых богатых людей. Если тебя там нет — берись за работу.; Р. Орбен
Чтобы преуспеть, вам нужно отделить себя от 98% населения планеты.; Дональд Трамп
Каждый раз нужно прыгать со скалы и отращивать крылья по пути вниз.; Рэй Брэдбери
Я убежден: половина того, что отделяет успешных предпринимателей от неудачников — это настойчивость.; Стив Джобс
Чтобы плыть против течения, рыба должна быть сильной, плыть по течению может даже мёртвая рыба.; Джон Кроу Рэнсом
Чтобы добиться успеха, нужно сделать всего 2 вещи: чётко определить, чего вы хотите на самом деле, а затем заплатить за всё это требуемую сумму.; Нельсон Бункер Хант
Мечты, как звезды… возможно, вам до них никогда не дотянуться, однако, если вы устремитесь к ним, они приведут вас к вашей судьбе.; Гейл Диверс
Если ты хочешь быть лучше остальных, то приготовься делать то, что остальные не хотят делать.; Майкл Феллпс
Спящему не достанется ничего, кроме снов.;
Если ты не готов трудиться, значит, ты готов проиграть.; Марк Спитц
Если тебе тяжело, значит ты поднимаешься в гору. Если тебе легко, значит ты летишь в пропасть.; Генри Форд
Мечтайте о великом: лишь великие мечты в силах затронуть людские души.; Марк Аврелий
Я этого хочу. Значит, это будет.; Генри Форд
Успех — это умение двигаться от неудачи к неудаче, не теряя энтузиазма.; Уинстон Черчилль
Есть два вида людей, которые будут вам говорить, что вы не сможете чего-то добиться: те, кто сами боятся пробовать, и те, кто боятся, что у вас получится.; Рей Гофорт
Не ошибается лишь тот, кто ничего не делает! Не бойтесь ошибаться — бойтесь повторять ошибки!; Теодор Рузвельт
Если останавливаться всякий раз, когда тебя оскорбляют или в тебя плюются, то ты никогда не дойдешь до места, куда тебе надо попасть.; Тибор Фишер
Я не терпел поражений. Я просто нашёл 10 000 способов, которые не работают.; Томас Эдисон
Выживает не самый сильный вид, и не самый умный, а тот, который лучше всех приспосабливается к изменениям.; Чарльз Дарвин
Самое важное — сделать хоть что-то для достижения успеха, и сделать это прямо сейчас. Это и есть самый главный секрет – несмотря на всю свою простоту. Потрясающие идеи есть у каждого, но редко кто делает хоть что-то, чтобы воплотить их на практике, причём прямо сейчас. Не завтра. Не через неделю. Сейчас.; Неизвестный автор
Весь прогресс происходит вне зоны комфорта.; Майкл Джон Бобак
Предприниматель не должен считать неудачу отрицательным опытом: это просто участок на обучающей кривой.; Ричард Брэнсон
Каждая мечта тебе даётся вместе с силами, необходимыми для её осуществления. Однако тебе, возможно, придётся ради этого потрудиться.; Ричард Бах
Чтобы дойти до цели, человеку нужно только одно. Идти.; Оноре де Бальзак
Знаний не достаточно, ты должен применять их. Желания не достаточно, ты должен делать.; Брюс Ли
Всегда выбирайте трудный сложный путь — на нём вы не встретите конкурентов.; Шарль де Голль
Большинство людей намного сильнее, чем они думают, они просто забывают иногда в это верить.; Неизвестный автор
Успешные люди делают то, что неуспешные не хотят делать. Не стремитесь, чтобы было легче, стремитесь, чтобы было лучше.; Джим Рон
Кораблю безопасней в порту, но он не для этого строился.; Грейс Хоппер
Требуется 20 лет, чтобы создать репутацию, и 5 минут, чтобы её разрушить. Вы будете относиться к делам по-другому, если подумаете об этом.; Уоррен Баффет
Если в течение рабочей недели вы только и делаете, что подсчитываете, сколько часов и минут осталось до начала выходных, вам никогда не стать миллиардером.; Дональд Трамп
За свою карьеру я пропустил более 9000 бросков, проиграл почти 300 игр. 26 раз мне доверяли сделать финальный победный бросок, и я промахивался. Я терпел поражения снова, и снова, и снова. И именно поэтому я добился успеха.; Майкл Джордан
Возьмите идею. Сделайте ее своей жизнью — думайте о ней, мечтайте о ней, живите ею. Пусть ваш разум, мышцы, нервы, каждая часть тела будет наполнена этой одной идеей. Вот он — путь к успеху.; Свами Вивекананда
Самые важные вещи в мире были совершены людьми, которые продолжали попытки, даже когда не оставалось никакой надежды.; Дейл Карнеги
Тот, кто не сталкивался с трудностями, не познаёт силы. Тому, кто не знавал бедствий, не нужна смелость. Загадочно, однако то, что самые лучшие черты характера в человеке, как раз и прорастают в почве, наполненной трудностями;. Гарри Фосдик
Что разум человека может постигнуть и во что он может поверить, того он способен достичь.; Наполеон Хилл
Если вы занижаете свои цели, то даже достигнув их, вы все равно будете чувствовать себя разочарованным. А представьте что будет, если вы потерпите неудачу? Поэтому гораздо лучше провалить невероятно высокие ожидания, чем достигать невысоких целей.; Грант Кардон
Ты можешь сказать, что у тебя плохая генетика, плохой обмен веществ, а можешь просто поднять свою задницу с дивана и начать работать над собой, задаться целью и верить в себя. В этом случае ты обязательно добьёшься успеха.; Арнольд Шварцнеггер
Чтобы быть успешным, нужно чтобы была страсть к тому, что вы делаете.; Стив Джобс
Секрет успеха — в постоянстве цели.; Бенджамин Дизраэли
Те, кто оказались на вершине, не с неба туда упали.; Маркус Уошлинг
Враги у вас должны быть только такие, которых бы вы ненавидели, а не такие, чтобы их презирать. Надо, чтобы вы гордились своим врагом; тогда успехи вашего врага будут и вашими успехами.; Фридрих Ницше
Многие люди, ничего не достигшие в жизни, и не подозревают, насколько они были близки к успеху в тот момент, когда сдались.; Томас Эдисон
Человек, который никогда не ошибался, просто никогда не пробовал ничего нового.; Альберт Эйнштейн
Человек, который сомневается в себе, становится своим злейшим врагом и готовится сражаться сам с собой. Его гарантированно постигнет неудача, потому что он в ней уже убежден.; Александр Дюма
Великого успеха достигают те, кого не пугают великие провалы.; Роберт Ф. Кеннеди
Если вы не готовы ошибаться, вы никогда не придумаете ничего оригинального.; Кен Робинсон
Изобретатель может ошибиться 999 раз, но одна-единственная удача все перевесит, и тогда все предыдущие попытки можно будет считать простой тренировкой.; Чарльз Ф. Кеттеринг
Жизнь, полная ошибок, почетнее и ценнее жизни, потраченной на бездействие.; Джордж Бернард Шоу
Не проблемы должны толкать вас в спину, а вперед вести мечты.; Дуглас Эверетт
Вы не будете расти, если не будете пытаться совершить что-то за пределами того, что вы уже знаете в совершенстве.; Ральф Эмерсон  
Не бойтесь жизни. Поверьте, что жизнь достойна того, чтобы прожить, и вам будет дано по вере вашей.; Уильям Джеймс
Вы никогда не сумеете решить возникшую проблему, если сохраните то же мышление и тот же подход, который привел вас к этой проблеме.; Альберт Эйнштейн
А если ты не уверен в себе ничего хорошего никогда не получится. Ведь если ты в себя не веришь, кто же поверит?; 
Мы – рабы своих привычек. Измени свои привычки, изменится твоя жизнь.; Роберт Кийосаки
У вас будут неудачи. У вас будут травмы. Вы будете ошибаться. У вас будут периоды депрессии и отчаяния. Семья, учеба, работа, проблемы быта – все это не раз и не два станет помехой тренингу. Однако стрелка вашего внутреннего компаса должна всегда показывать одно и тоже направление – к цели.; Стюарт МакРоберт
Искусство быть счастливым заключается в способности находить счастье в простых вещах.; Генри Уорд Бичер
Если останавливаться всякий раз, когда тебя оскорбляют или в тебя плюются, то ты никогда не дойдешь до места, куда тебе надо попасть.; Тибор Фишер
Столкнувшись с трудностями, нельзя сдаваться, бежать. Вы должны оценивать ситуацию, искать решения и верить в то, что все делается к лучшему. Терпение – вот ключ к победе.; Ник Вуйчич
Для нас не должно существовать никаких пределов.; Ричард Бах
Разницу между тем, кто что-то достиг, и тем, кто не достиг ничего, определяет то, кто стартовал раньше.; Чарльз Шваб
Окружай себя только теми людьми, кто будет тянуть тебя выше. Просто жизнь уже полна теми, кто хочет тянуть тебя вниз.; Джордж Клуни
Умей оставаться самим собой и ты никогда не станешь игрушкой в руках судьбы.; Парацельс
Во-первых, не делай ничего без причины и цели. Во-вторых, не делай ничего, что бы не клонилось на пользу общества.; Марк Аврелий
Если тебе не нравится то, что ты получаешь, измени то, что ты даешь.; Карлос Кастанеда
Все победы начинаются с победы над самим собой.; Леонид Леонов
Вы не должны сравнивать себя с другими, и если природа создала вас летучей мышью, вы не должны пытаться стать страусом.; Герман Гессе
Возникшие желания должны реализовываться безотлагательно. А то все удовольствие пропадает. Захотел – сделал, чего тянуть, жизнь коротка. Здесь и сейчас!; Михаил Веллер
Желать и ждать – на этом далеко не уедешь. Встань и начни следовать за своей мечтой.; Джаред Лето
Ты не можешь ни выйграть, ни проиграть до тех пор, пока ты не участвуешь в гонках.; Дэвид Боуи
Что бы ты ни придумал, всегда найдется тот, кто уже делал это до тебя. Так что главное – сделать это лучше.; Адриано Челентано
Спи. Мечтай. Проснись. Действуй. Придумывай. Сражайся. Побеждай. Спи. Мечтай.; Джаред Лето
Вы хотите знать кто вы? Не спрашивайте. Действуйте! Действие будет описывать и определять вас.; Томас Джефферсон
Если хочешь продлить свою жизнь, укороти свои трапезы.; Бенджамин Франклин
Логика может привести вас от пункта А к пункту Б, а воображение – куда угодно.; Альберт Энштейн
Главное – отдать все силы избранному делу и от вас пойдет молва. Ибо совершенство – редкость.; Андре Моруа
Мечтайте так, как будто вам жить вечно. Живите так, как будто вам умирать сегодня.; Джеймс Дин
Если хотите добиться успеха, задайте себе 4 вопроса: Почему? А почему бы и нет? Почему бы и не я? Почему бы и не прямо сейчас?; Джимми Дин
Нашу судьбу формируют именно те маленькие незаметные решения, которые мы принимаем по 100 раз за день.; Энтони Роббинс
Неудача – это просто возможность начать снова, но уже более мудро.; Генри Форд
Даже если вы очень талантливы и прилагает большие усилия, для некоторых результатов просто требуется время: вы не получите ребенка через месяц, даже если заставите забеременеть девять женщин.; Уоррен Баффет
Просыпаясь утром, спроси себя: «Что я должен сделать?» Вечером, прежде чем заснуть: «Что я сделал».; Пифагор
Делай сегодня то, что другие не хотят, завтра будешь жит так, как другие не могут.; Автор неизвестен
Раньше я говорил: «Я надеюсь, что все изменится». Затем я понял, что существует единственный способ, чтобы все изменилось – измениться самому.; Джим Рон
Тяжелый труд – это скопление легких дел, которые вы не сделали, когда должны были сделать.; Джон Максвелл
Быстрее всего учишься в трех случаях – до 7 лет, на тренингах, и когда жизнь загнала тебя в угол.; Стивен Кови
Воин не отказывается от того, что любит. Он находит любовь в том, что делает.; Мирный воин
Воин действует, а глупец протестует.; Мирный воин
Есть только один способ проделать большую работу – полюбить ее!; Стив Джобс
Лучше зажечь одну свечу, чем проклинать темноту.; Китайская пословица
Делай, что можешь, с тем, что у тебя есть, и там, где ты находишься.; Теодор Рузвельт
Без идеи не может быть ничего великого! Без великого не может быть ничего прекрасного.; Гюстав Флобер
Каждая мечта тебе дается вместе с силами, необходимыми для ее осуществления.; Ричард Бах
Жизнь – это большой холст и вы должны бросить на него всю краску какую только можете.; Дэнни Кэй
Путь в тысячу ли начинается с одного единственного маленького шага.; Лао Цзы
Успешный человек – всегда потрясающий художник своего воображения. Воображение гораздо важнее знания, ибо знание ограничено, а воображение – беспредельно.; Альберт Энштейн
Инвестиции в знания дают самые высокие дивиденды.; Бенджамин Франклин
Успех – это возможность просыпаться утром и засыпать вечером, успевая делать между этими двумя событиями то, что тебе по-настоящему нравится.; Боб Дилан
Никогда не недооценивайте себя. Все то, что делают другие, можете делать и вы.; Брайан Трейси
Великие умы ставят перед собой цели, остальные люди следуют своим желаниям.; Вашингтонг Ирвинг
Если вы откажитесь от своей мечты, то что останется?; Джим Керри
Или вы управляете днем или день управляет вами.; Джим Рон
Счастье не в том, чтобы делать всегда, что хочешь, а в том, чтобы всегда хотеть того, что делаешь.; Лев Толстой
Когда вы вводите какие-либо новшества будьте готовы к тому, что вас назовут сумасшедшим.; Ларри Эллисон
Великие души обладают волей, слабые же имеют только желания.; Китайская пословица
Старайтесь стать лидерами рынка. Присваивайте и контролируйте важнейшие технологии во всем, что вы делаете.; Стив Джобс
В вашем подсознании скрыта сила, способная перевернуть мир.; Уильям Джеймс
Делайте дела с теми людьми, которые вам нравятся и которые разделяют ваши цели.; Уоррен Баффет
Мы являемся тем, что постоянно делаем. Следовательно, совершенство – не действие, а привычка.; Аристотель
Мы – хозяева своей судьбы. Мы – капитаны своих душ.; Уинстон Черчиль
Одной лишь мотивации недостаточно. Если взять идиота и мотивировать его, получится мотивированный идиот.; Джим Рон
Вы никогда не будете слишком стары для того. Чтобы поставить перед собой новую цель или мечтать о чем-то новом.; Клайв Стейплз Льюис
Самые важные вещи в мире были совершены людьми, которые продолжали попытки, даже когда не оставалось никакой надежды.; Дейл Карнеги
Если вы хотите иметь успех, вы должны выглядеть так, как будто вы его имеете.; Томас Мор
Тот, кто не может располагать 2/3 дня лично для себя, должен быть назван рабом.; Фридрих Ницше
Тот, кто хочет видеть результаты своего труда немедленно, должен идти в сапожники.; Альберт Эйнштейн
Через двадцать лет вы будете сожалеть о том, чего не сделали, чем о том, что вы сделали. Поэтому, отбросьте сомнения. Уплывайте прочь от безопасной гавани. Поймайте попутный ветер своими парусами. Исследуйте. Мечтайте. Открывайте.; Марк Твен
Если ты не научишься управлять собой, тобой будут управлять другие.; Хасай Алиев
Улыбнитесь, потому что жизнь – прекрасная вещь и есть много причин для улыбок.; Мерилин Монро
Еще не все колеса изобретены: мир слишком удивителен, чтобы сидеть сложа руки.; Ричард Бренсон
У меня не было рабочих дней и дней отдыха. Я просто делал и получат от этого удовольствие.; Томас Эдисон
Человек не может правильно поступать в одной сфере своей жизни, когда неправильно поступает в других. Жизнь – это неделимое целое.; Махатма Ганди
Вместо того, чтобы сетовать, что роза имеет шипы, я радуюсь тому, что среди шипов растет роза.; Жозеф Жубер
Ты никогда не переплывешь океан, если будешь бояться потерять берег из виду.; Христофор Колумб
Стремитесь быть не просто успешным человеком, а ценным.; Альберт Энштейн
Говорят, что мотивация длится недолго. Что ж, свежесть после ванны – тоже. Поэтому заботиться о них стоит ежедневно.; Зиг Зиглар
Поверьте, что сможете, и пол пути уже пройдено.; Теодор Рузвельт
Жизнь измеряется не количеством наших вдохов, а количеством моментов, от которых перехватывает дахание.; Майя Энджелоу
Почувствуйте попутный ветер в вашем парусе. Двигайтесь…Если нет ветра, беритесь за весла.; Латинская поговорка
Если вы цените то, что у вас есть в жизни, вы всегда будете получать еще больше. Если думать лишь о том, чего у вас нет – вам никогда не будет достаточно.; Опра Уинфри
Либо напишите книгу, стоящую чтения, либо сделайте что-то, стоящее написания книги.; Бенджамин Франклин
Неосмысленная жизнь не стоит того, чтобы жить.; Сократ
80% успеха – это появиться в нужном месте в нужное время.; Вуди Аллен
Ваше время ограничено, не тратьте его, живя чужой жизнью.;
Свобода ничего не стоит, если она не включает в себя свободу ошибаться.; Махатма Ганди
Два самых важных дня в твоей жизни: день, когда ты появился на свет, и день, когда понял, зачем.; Марк Твен
Лучшая месть – огромный успех.; Фрэнк Синатра
Начинайте копировать то, что вам нравится. Копируйте. Копируйте. Копируйте. И найдете себя.; Едзи Ямамото
Настоящее хобби нашего поколения – это нытье и тупая болтовня ни о чем. Неудачные отношения, проблемы с учебой, начальник – мудак. Это все полная фигня. Если у тебя ничего не получается, то есть только один мудак – это ты. И ты сильно удивишься, если узнаешь, как много можно изменить, просто оторвав жопу от дивана.; Джордж Карлин
Не будь другим, если можешь быть самим собой.; Парацельс
Завтра – первый чистый лист книги в 365 страниц. Напиши хорошую книгу.; Брэд Пейсли
То, что не будет записано, никогда не будет исполнено.; Том Клэнси
